ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;TYPE OF WORK;ABSTRACT;CATEGORY;LLM APPROACH TYPE;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P78;CAT-LM Training Language Models on Aligned Code And Tests;2023;Rao2024;C: ASE;Conference;"@Inproceedings{Rao2024 ,
  author =       ""Rao, Nikitha and Jain, Kush and Alon, Uri and Goues, Claire Le and Hellendoorn, Vincent J."",
  title =        ""CAT-LM Training Language Models on Aligned Code and Tests"",
  booktitle =    ""Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering"",
  series =       """",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Press"",
  address =      ""Echternach, Luxembourg"",
  pages =        ""409–420"",
  doi =          ""10.1109/ASE56229.2023.00193"",
  url =          ""https://doi.org/10.1109/ASE56229.2023.00193""
}";Research Contribution;Testing is an integral but often neglected part of the software development process. Classical test generation tools such as EvoSuite generate behavioral test suites by optimizing for coverage, but tend to produce tests that are hard to understand. Language models trained on code can generate code that is highly similar to that written by humans, but current models are trained to generate each file separately, as is standard practice in natural language processing, and thus fail to consider the codeunder-test context when producing a test file. In this work, we propose the Aligned Code And Tests Language Model (CATLM), a GPT-style language model with 2.7 Billion parameters, trained on a corpus of Python and Java projects. We utilize a novel pretraining signal that explicitly considers the mapping between code and test files when available. We also drastically increase the maximum sequence length of inputs to 8,192 tokens, 4x more than typical code generation models, to ensure that the code context is available to the model when generating test code. We analyze its usefulness for realistic applications, showing that sampling with filtering (e.g., by compilability, coverage) allows it to efficiently produce tests that achieve coverage similar to ones written by developers while resembling their writing style. By utilizing the code context, CAT-LM generates more valid tests than even much larger language models trained with more data (CodeGen 16B and StarCoder) and substantially outperforms a recent test-specific model (TeCo) at test completion. Overall, our work highlights the importance of incorporating software-specific insights when training language models for code and paves the way to more powerful automated test generation.;Unit Test Generation;LLM-Pure-FineTune;Other;StarCoder, Codegen, TECO, GPT-Family;ROUGE, CodeBLEU, % Build, % Pass, XMatch;CAT-LLM
P79;Assessing Evaluation Metrics for Neural Test Oracle Generation;2024;Jiho2024;J: TSE;Journal;"@article{Jiho2024,
  title = ""Assessing Evaluation Metrics for Neural Test Oracle Generation"",
  author = ""Shin, Jiho and Hemmati, Hadi and Wei, Moshi and Wang, Song"",
  journal = ""IEEE Trans. Softw. Eng."",
  volume = ""50"",
  number = ""9"",
  pages = ""2337--2349"",
  year = ""2024"",
  publisher = ""IEEE Press"",
  doi = ""10.1109/TSE.2024.3433463"",
  url = ""https://doi.org/10.1109/TSE.2024.3433463""
}";Survey;Recently, deep learning models have shown promising results in test oracles generation. Static evaluation metrics from Natural Language Generation (NLG) such as BLEU, CodeBLEU, ROUGE-L, METEOR, and Accuracy, which is mainly based on textual comparisons, have been widely adopted to measure the performance of Neural Oracle Generation (NOG) models. However, these NLG-based metrics may not reflect the testing effectiveness of the generated oracle within a test suite, which is often measured by dynamic (execution-based) test adequacy metrics such as code coverage and mutation score. In this work, we revisit existing oracle generation studies plus ChatGPT to empirically investigate the current standing of their performance in both NLG-based and test adequacy metrics. Specifically, we train and run four state-of-the-art test oracle generation models on five NLG-based and two test adequacy metrics for our analysis. We apply two different correlation analyses between these two different sets of metrics. Surprisingly, we found no significant correlation between the NLG-based metrics and test adequacy metrics. For instance, oracles generated from ChatGPT on the project activemq-artemis had the highest performance on all the NLG-based metrics among the studied NOGs, however, it had the most number of projects with a decrease in test adequacy metrics compared to all the studied NOGs. We further conduct a qualitative analysis to explore the reasons behind our observations, we found that oracles with high NLG-based metrics but low test adequacy metrics tend to have complex or multiple chained method invocations within the oracle’s parameters, making it hard for the model to generate completely, affecting the test adequacy metrics. On the other hand, oracles with low NLG-based metrics but high test adequacy metrics tend to have to call different assertion types or a different method that functions similarly to the ones in the ground truth. Overall, this work complements prior studies on test oracle generation with an extensive performance evaluation with both NLG andtest adequacy metrics and provides guidelines for better assessment of deep learning applications in software test generation in the future.;Oracle Generation, Reflections;None;Other;;BLEU, CodeBLEU, METEOR, ROUGE, EditSim, Other, Test Coverage, Mutation Rate;
P80;Towards More Realistic Evaluation for Neural Test Oracle Generation;2023;Zhongxin2023;C: ISSTA;Conference;"@Inproceedings{Zhongxin2023 ,
  author =       ""Liu, Zhongxin and Liu, Kui and Xia, Xin and Yang, Xiaohu"",
  title =        ""Towards More Realistic Evaluation for Neural Test Oracle Generation"",
  booktitle =    ""Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis"",
  series =       ""ISSTA 2023"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""Association for Computing Machinery"",
  location =      ""Seattle, WA, USA"",
  pages =        ""589–-600"",
  doi =          ""10.1145/3597926.3598080"",
  url =          ""https://doi.org/10.1145/3597926.3598080"",
  number =       """",
  month =        """",
  organization = """",
  note =         """",
}";Evaluation;Unit testing has become an essential practice during software development and maintenance. Effective unit tests can help guard and improve software quality but require a substantial amount of time and effort to write and maintain. A unit test consists of a test prefix and a test oracle. Synthesizing test oracles, especially functional oracles, is a well-known challenging problem. Recent studies proposed to leverage neural models to generate test oracles, i.e., neural test oracle generation (NTOG), and obtained promising results. However, after a systematic inspection, we find there are some inappropriate settings in existing evaluation methods for NTOG. These settings could mislead the understanding of existing NTOG approaches’ performance. We summarize them as ① generating test prefixes from bug-fixed program versions, ② evaluating with an unrealistic metric, and ③ lacking a straightforward baseline. In this paper, we first investigate the impacts of these settings on evaluating and understanding the performance of NTOG approaches. We find that ❶ unrealistically generating test prefixes from bug-fixed program versions inflates the number of bugs found by the state-of-the-art NTOG approach TOGA by 61.8%, ❷ FPR (False Positive Rate) is not a realistic evaluation metric and the Precision of TOGA is only 0.38%, and ❸ a straightforward baseline NoException, which simply expects no exception should be raised, can find 61% of the bugs found by TOGA with twice the Precision. Furthermore, we introduce an additional ranking step to existing evaluation methods and propose an evaluation metric named Found@Ktobetter measure the cost-effectiveness of NTOG approaches in terms of bug-finding. We propose a novel unsupervised ranking method to instantiate this ranking step, significantly improving the cost-effectiveness of TOGA. Eventually, based on our experimental results and observations, we propose a more realistic;Oracle Generation, Reflections;None;Defects4J;;;
P81;A3Test: Assertion-Augmented Automated Test Case Generation;2024;Alagarsamy2024;J: IST;Journal;"@article{Alagarsamy2024,
  title = ""A3Test: Assertion-Augmented Automated Test case generation"",
  author = ""Saranya Alagarsamy and Chakkrit Tantithamthavorn and Aldeida Aleti"",
  journal = ""Information and Software Technology"",
  volume = ""176"",
  number = """",
  pages = ""107565"",
  year = ""2024"",
  publisher = ""Institute of Electrical and Electronics Engineers Inc."",
  doi = ""10.1016/j.infsof.2024.107565"",
  url = ""https://doi.org/10.1016/j.infsof.2024.107565""
}
";Research Contribution;"Test case generation is an important activity, yet a time-consuming and laborious task. Recently, AthenaTest -- a deep learning approach for generating unit test cases -- is proposed. However, AthenaTest can generate less than one-fifth of the test cases correctly, due to a lack of assertion knowledge and test signature verification. In this paper, we propose A3Test, a DL-based test case generation approach that is augmented by assertion knowledge with a mechanism to verify naming consistency and test signatures. A3Test leverages the domain adaptation principles where the goal is to adapt the existing knowledge from an assertion generation task to the test case generation task. We also introduce a verification approach to verify naming consistency and test signatures. Through an evaluation of 5,278 focal methods from the Defects4j dataset, we find that our A3Test (1) achieves 147% more correct test cases and 15% more method coverage, with a lower number of generated test cases than AthenaTest; (2) still outperforms the existing pre-trained models for the test case generation task; (3) contributes substantially to performance improvement via our own proposed assertion pre-training and the verification components; (4) is 97.2% much faster while being more accurate than AthenaTest.";Unit Test Generation, Oracle Generation;LLM-Pure-FineTune;Defects4J;;% Build, Test Coverage, Execution Time, Mutation Rate, Other;A3Test
P82;An Empirical Study on Focal Methods in Deep-Learning-Based Approaches for Assertion Generation;2024;Yibo2024;J: Proc. ACM Softw. Eng;Conference;"@article{Yibo2024,
  title = ""An Empirical Study on Focal Methods in Deep-Learning-Based Approaches for Assertion Generation"",
  author = ""He, Yibo and Huang, Jiaming and Yu, Hao and Xie, Tao"",
  journal = ""Proc. ACM Softw. Eng."",
  volume = ""1"",
  number = ""FSE"",
  numpages = ""22"",
  year = ""2024"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1145/3660785"",
  url = ""https://doi.org/10.1145/3660785""
}";Evaluation;"Unit testing is widely recognized as an essential aspect of the software development process. Generating high-quality assertions automatically is one of the most important and challenging problems in automatic unit test generation. To generate high-quality assertions, deep-learning-based approaches have been proposed in recent years. For state-of-the-art deep-learning-based approaches for assertion generation (DLAGs), the focal method (i.e., the main method under test) for a unit test case plays an important role of being a required part of the input to these approaches. To use DLAGs in practice, there are two main ways to provide a focal method for these approaches: (1) manually providing a developer-intended focal method or (2) identifying a likely focal method from the given test prefix (i.e., complete unit test code excluding assertions) with test-to-code traceability techniques. However, the state-of-the-art DLAGs are all evaluated on the ATLAS dataset, where the focal method for a test case is assumed as the last non-JUnit-API method invoked in the complete unit test code (i.e., code from both the test prefix and assertion portion). There exist two issues of the existing empirical evaluations of DLAGs, causing inaccurate assessment of DLAGs toward adoption in practice. First, it is unclear whether the last method call before assertions (LCBA) technique can accurately reflect developer-intended focal methods. Second, when applying DLAGs in practice, the assertion portion of a unit test is not available as a part of the input to DLAGs (actually being the output of DLAGs); thus, the assumption made by the ATLAS dataset does not hold in practical scenarios of applying DLAGs. To address the first issue, we conduct a study of seven test-to-code traceability techniques in the scenario of assertion generation. We find that the LCBA technique is not the best among the seven techniques and can accurately identify focal methods with only 43.38% precision and 38.42% recall; thus, the LCBA technique cannot accurately reflect developer-intended focal methods, raising a concern on using the ATLAS dataset for evaluation. To address the second issue along with the concern raised by the preceding finding, we apply all seven test-to-code traceability techniques, respectively, to identify focal methods automatically from only test prefixes and construct a new dataset named ATLAS+ by replacing the existing focal methods in the ATLAS dataset with the focal methods identified by the seven traceability techniques, respectively. On a test set from new ATLAS+, we evaluate four state-of-the-art DLAGs trained on a training set from the ATLAS dataset. We find that all of the four DLAGs achieve lower accuracy on a test set in ATLAS+ than the corresponding test set in the ATLAS dataset, indicating that DLAGs should be (re)evaluated with a test set in ATLAS+, which better reflects practical scenarios of providing focal methods than the ATLAS dataset. In addition, we evaluate state-of-the-art DLAGs trained on training sets in ATLAS+. We find that using training sets in ATLAS+ helps effectively improve the accuracy of the ATLAS approach and T5 approach over these approaches trained using the corresponding training set from the ATLAS dataset.";Oracle Generation, Reflections;None;Other;;Other, BLEU, Execution Time;
P83;ASTER: Natural and Multi-language Unit Test Generation with LLMs;2025;Pan2025;C: ICSE;Conference;"@Inproceedings{Pan2025 ,
  author =       ""Rangeet Pan and Myeongsoo Kim and Rahul Krishna and Raju Pavuluri and Saurabh Sinha"",
  title =        ""ASTER: Natural and Multi-language Unit Test Generation with LLMs"",
  booktitle =    ""Proceedings of the 47th International Conference on Software Engineering"",
  series =       ""ICSE '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""ASTER: Natural and Multi-language Unit Test Generation with LLMs"",
  pages =        ""-"",
  doi =          ""10.48550/arXiv.2409.03093"",
  url =          ""https://doi.org/10.48550/arXiv.2409.03093""
}";Research Contribution;Implementing automated unit tests is an important but time-consuming activity in software development. To assist developers in this task, many techniques for automating unit test generation have been developed. However, despite this effort, usable tools exist for very few programming languages. Moreover, studies have found that automatically generated tests suffer poor readability and do not resemble developer-written tests. In this work, we present a rigorous investigation of how large language models (LLMs) can help bridge the gap. We describe a generic pipeline that incorporates static analysis to guide LLMs in generating compilable and high-coverage test cases. We illustrate how the pipeline can be applied to different programming languages, specifically Java and Python, and to complex software requiring environment mocking. We conducted an empirical study to assess the quality of the generated tests in terms of code coverage and test naturalness -- evaluating them on standard as well as enterprise Java applications and a large Python benchmark. Our results demonstrate that LLM-based test generation, when guided by static analysis, can be competitive with, and even outperform, state-of-the-art test-generation techniques in coverage achieved while also producing considerably more natural test cases that developers find easy to understand. We also present the results of a user study, conducted with 161 professional developers, that highlights the naturalness characteristics of the tests generated by our approach.;Unit Test Generation;LLM-Pure-Prompting;Apache-Commons, BugsInPy, Pynguin;CodeLlama, Granite, GPT-Family, Llama-Family;Test Coverage, % Test Smells, Other;-
P84;Exploring Automated Assertion Generation via Large Language Models;2025;ZhangTSE2025;J: TOSEM;Journal;"@article{ZhangTSE2025,
  title = ""Exploring Automated Assertion Generation via Large Language Models"",
  author = ""Zhang, Quanjun and Sun, Weifeng and Fang, Chunrong and Yu, Bowen and Li, Hongyan and Yan, Meng and Zhou, Jianyi and Chen, Zhenyu"",
  journal = ""ACM Trans. Softw. Eng. Methodol."",
  volume = ""34"",
  number = ""3"",
  pages = ""1--25"",
  year = ""2025"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1145/3699598"",
  url = ""https://doi.org/10.1145/3699598""
}";Evaluation;"Unit testing aims to validate the correctness of software system units and has become an essential practice in software development and maintenance. However, it is incredibly time-consuming and labor-intensive for testing experts to write unit test cases manually, including test inputs (i.e., prefixes) and test oracles (i.e., assertions). Very recently, some techniques have been proposed to apply Large Language Models (LLMs) to generate unit assertions and have proven the potential in reducing manual testing efforts. However, there has been no systematic comparison of the effectiveness of these LLMs, and their pros and cons remain unexplored.
To bridge this gap, we perform the first extensive study on applying various LLMs to automated assertion generation. The experimental results on two independent datasets show that studied LLMs outperform six state-of-the-art techniques with a prediction accuracy of 51.82%–58.71% and 38.72%–48.19%. The improvements achieve 29.60% and 12.47% on average. Besides, as a representative LLM, CodeT5 consistently outperforms all studied LLMs and all baselines on both datasets, with an average improvement of 13.85% and 26.64%, respectively. We also explore the performance of generated assertions in detecting real-world bugs, and find LLMs are able to detect 32 bugs from Defects4J on average, with an improvement of 52.38% against the most recent approach EditAS. Inspired by the findings, we construct a simplistic retrieval-and-repair-enhanced LLM-based approach by transforming the assertion generation problem into a program repair task for retrieved similar assertions. Surprisingly, such a simplistic approach can further improve the prediction accuracy of LLMs by 9.40% on average, leading to new records on both datasets. Besides, we provide additional discussions from different aspects (e.g., the impact of assertion types and test lengths) to illustrate the capacity and limitations of LLM-based approaches. Finally, we further pinpoint various practical guidelines (e.g., the improvement of multiple candidate assertions) for advanced LLM-based assertion generation in the near future. Overall, our work underscores the promising future of adopting off-the-shelf LLMs to generate accurate and meaningful assertions in real-world test cases and reduce the manual efforts of unit testing experts in practical scenarios.";Oracle Generation, Reflections;Hybrid-Prompting;Defects4J, No Bmk-Ds;CodeBert, GraphCodeBert, UniXcoder, CodeT5, CodeGPT, CodeLlama, Other;Bugs Rate, Accuracy;-
P85;Deep Multiple Assertions Generation;2024;Hailong2024;C: Other;Conference;"@Inproceedings{Hailong2024 ,
  author =       ""Wang, Hailong and Xu, Tongtong and Wang, Bei"",
  title =        ""Deep Multiple Assertions Generation"",
  booktitle =    ""Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering"",
  series =       ""FORGE '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Lisbon, Portugal"",
  pages =        ""1-–11"",
  doi =          ""10.1145/3650105.3652293"",
  url =          ""https://doi.org/10.1145/3650105.3652293""
}";Research Contribution;"Software testing is one of the most crucial parts of the software development life cycle. Developers spend substantial amount of time and efforts on software testing. Recently, there has been a growing scholarly interest in the automation of software testing. However, recent studies have revealed significant limitations in the quality and efficacy of the generated assert statements. These limitations primarily arise due to: (i) the inherent complexity involved in generating assert statements that are both meaningful and effective; (ii) the challenge of capturing the relationship between multiple assertions in a single test case. In recent research, deep learning techniques have been employed to generate meaningful assertions.
However, it is typical for a single assertion to be generated for each test case, which contradicts the current situation where over 40% of test cases contain multiple assertions.
To address these open challenges, we propose a novel approach, called DeepAssert that exploits the pre-trained model GraphCodeBERT to automatically generate multiple assertions for test methods.
It can recommend a sequence of assert statements effectively given a test method and a focal method (the method under test).
To evaluate the effectiveness of our approach, we conduct extensive experiments on the dataset built on the top of Methods2Test dataset. Experimental results show that DeepAssert achieves scores of 54.16%, 18.36%, and 15.38% in terms of CodeBLEU, accuracy and perfect prediction and substantially outperforms the state-of-the-art baselines by a large margin. Furthermore, we evaluate the effectiveness of DeepAssert on the task of bug detection and the result indicates that the assert sequences generated by DeepAssert can assist in exposing 42 real-world bugs extracting from Defects4J while only considering the first compiled assert sequence, outperforming the SOTA approaches by a large margin as well.";Oracle Generation;LLM-Pure-FineTune;Methods2Test, Defects4J;GraphCodeBert;Accuracy, CodeBLEU, Bugs Rate, Other;DeepAssert
P86;PyTester: Deep Reinforcement Learning for Text-to-Testcase Generation;2025;Takerngsaksiri2025;J: JSS;Journal;"@article{Takerngsaksiri2025,
  title = ""Pytester: Deep reinforcement learning for text-to-testcase generation"",
  author = ""Wannita Takerngsaksiri and Rujikorn Charakorn and Chakkrit Tantithamthavorn and Yuan-Fang Li"",
  journal = ""Journal of Systems and Software"",
  volume = ""224"",
  number = """",
  pages = ""112381"",
  year = ""2025"",
  publisher = ""Elsevier"",
  doi = ""10.1016/j.jss.2025.112381"",
  url = ""https://doi.org/10.1016/j.jss.2025.112381""
 }";Research Contribution;Test-driven development (TDD) is a widely-employed software development practice that mandates writing test cases based on requirements before writing the actual code. While writing test cases is the centerpiece of TDD, it is time-consuming, expensive, and often shunned by developers. To address these issues associated with TDD, automated test case generation approaches have recently been investigated. Such approaches take source code as input, but not the requirements. Therefore, existing work does not fully support true TDD, as actual code is required to generate test cases. In addition, current deep learning-based test case generation approaches are trained with one learning objective, i.e., to generate test cases that are exactly matched with the ground-truth test cases. However, such approaches may limit the model's ability to generate different yet correct test cases. In this paper, we introduce PyTester, a Text-to-Testcase generation approach that can automatically generate syntactically correct, executable, complete, and effective test cases while being aligned with a given natural language requirement. We evaluate PyTester on the public APPS benchmark dataset, and the results show that our Deep RL approach enables PyTester, a small language model, to outperform much larger language models like GPT3.5, StarCoder, and InCoder. Our findings suggest that future research could consider improving small over large LMs for better resource efficiency by integrating the SE domain knowledge into the design of reinforcement learning architecture.;;;;;;
P87;CasModaTest: A Cascaded and Model-agnostic Self-directed Framework for Unit Test Generation;2024;Ni2024;arXiv;arXiv;"@misc{Ni2024,
  title = ""CasModaTest: A Cascaded and Model-agnostic Self-directed Framework for Unit Test Generation"",
  author = ""Chao Ni and Xiaoya Wang and Liushan Chen and Dehai Zhao and Zhengong Cai and Shaohua Wang and Xiaohu Yang"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2406.15743"",
  url = ""https://doi.org/10.48550/arXiv.2406.15743""
}";Research Contribution;"Though many machine learning (ML)-based unit testing generation approaches have been proposed and indeed achieved remarkable performance, they still have several limitations in effectiveness and practical usage. More precisely, existing ML-based approaches (1) generate partial content of a unit test, mainly focusing on test oracle generation; (2) mismatch the test prefix with the test oracle semantically; and (3) are highly bound with the close-sourced model, eventually damaging data security. We propose CasModaTest, a cascaded, model-agnostic, and end-to-end unit test generation framework, to alleviate the above limitations with two cascaded stages: test prefix generation and test oracle generation. Then, we manually build large-scale demo pools to provide CasModaTest with high-quality test prefixes and test oracles examples. Finally, CasModaTest automatically assembles the generated test prefixes and test oracles and compiles or executes them to check their effectiveness, optionally appending with several attempts to fix the errors occurring in compiling and executing phases. To evaluate the effectiveness of CasModaTest, we conduct large-scale experiments on a widely used dataset (Defects4J) and compare it with four state-of-the-art (SOTA) approaches by considering two performance measures. The experimental results indicate that CasModaTest outperforms all SOTAs with a substantial improvement (i.e., 60.62%-352.55% in terms of accuracy, 2.83%-87.27% in terms of focal method coverage). Besides, we also conduct experiments of CasModaTest on different open-source LLMs and find that CasModaTest can also achieve significant improvements over SOTAs (39.82%-293.96% and 9.25%-98.95% in terms of accuracy and focal method coverage, respectively) in end-to-end unit test generation";Unit Test Generation, Oracle Generation;LLM-Pure-Prompting;Defects4J;GPT-Family, DeepSeekCoder, CodeLlama;Test Coverage, Accuracy, Execution Time, Other;CasModaTest
P88;Advancing Bug Detection in Fastjson2 with Large Language Models Driven Unit Test Generation;2024;Zhong2024;arXiv;arXiv;"@misc{Zhong2024,
  title = ""Advancing Bug Detection in Fastjson2 with Large Language Models Driven Unit Test Generation"",
  author = ""Zhiyuan Zhong and Sinan Wang and Hailong Wang and Shaojin Wen and Hao Guan and Yida Tao and Yepang Liu"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2410.09414"",
  url = ""https://doi.org/10.48550/arXiv.2410.09414""
}";Research Contribution;Data-serialization libraries are essential tools in software development, responsible for converting between programmable data structures and data persistence formats. Among them, JSON is the most popular choice for exchanging data between different systems and programming languages, while JSON libraries serve as the programming toolkit for this task. Despite their widespread use, bugs in JSON libraries can cause severe issues such as data inconsistencies and security vulnerabilities. Unit test generation techniques are widely adopted to identify bugs in various libraries. However, there is limited systematic testing effort specifically for exposing bugs within JSON libraries in industrial practice. In this paper, we propose JSONTestGen, an approach leveraging large language models (LLMs) to generate unit tests for fastjson2, a popular open source JSON library from Alibaba. Pre-trained on billions of open-source text and code corpora, LLMs have demonstrated remarkable abilities in programming tasks. Based on historical bug-triggering unit tests, we utilize LLMs to generate more diverse test cases by incorporating JSON domain-specific mutation rules. To systematically and efficiently identify potential bugs, we adopt differential testing on the results of the generated unit tests. Our evaluation shows that JSONTestGen outperforms existing test generation tools in unknown defect detection. With JSONTestGen, we found 34 real bugs in fastjson2, 30 of which have already been fixed, including 12 non-crashing bugs. While manual inspection reveals that LLM-generated tests can be erroneous, particularly with self-contradictory assertions, we demonstrate that LLMs have the potential for classifying false-positive test failures. This suggests a promising direction for improved test oracle automation in the future.;Unit Test Generation;Hybrid-Prompting;FastJson;GPT-Family, Llama-Family;Test Coverage, Bugs Rate, Accuracy;JSONTestGen
P89;Can ChatGPT advance software testing intelligence? An experience report on metamorphic testing;2023;Hung2023;arXiv;arXiv;"@misc{Hung2023,
  title = ""Can ChatGPT advance software testing intelligence? An experience report on metamorphic testing"",
  author = ""Quang-Hung Luu and Huai Liu and Tsong Yueh Chen"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2023"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2310.19204"",
  url = ""https://doi.org/10.48550/arXiv.2310.19204""
}";Evaluation;"This paper reports on a pilot study of using ChatGPT, a language model based on GPT-3.5 architecture, for
automatic generation of metamorphic relations (MRs), in the
context of testing of autonomous driving systems (ADSs). The
oracle problem is a major challenge in testing such systems,
where it is difficult to determine whether or not the output of
a system is correct. Metamorphic testing (MT) can alleviate this
problem by checking the consistency of the system’s outputs
under various transformations. However, manual generation
of MRs is often a time-consuming and error-prone process.
Automated MR generation can yield several benefits, including
enhanced efficiency, quality, coverage, scalability, and reusability
in software testing, thereby facilitating a more comprehensive
and effective testing process. In this paper, we investigate the
effectiveness of using ChatGPT for automatic generation of MRs
for ADSs. We provide a detailed methodology for generating
MRs using ChatGPT and evaluate the generated MRs using our
domain knowledge and existing MRs. The results of our study
indicate that our proposed approach is effective at generating
high-quality MRs, and can significantly reduce the manual
effort required for MR generation. Furthermore, we discuss the
practical implications and limitations of using ChatGPT for MR
generation and provide recommendations for future research.
Our study contributes to the advancement of automated testing
of ADSs, which is crucial for ensuring their safety and reliability
in real-world scenarios.";Oracle Generation;LLM-Pure-Prompting;Other;GPT-Family;Other;--
P90;Automated Metamorphic-Relation Generation with ChatGPT: An Experience Report;2023;Yifan2023;C: Other;Conference;"
@Inproceedings{Yifan2023 ,
  author =       ""Zhang, Yifan and Towey, Dave and Pike, Matthew"",
  title =        ""Automated Metamorphic-Relation Generation with ChatGPT: An Experience Report"",
  booktitle =    ""Proceedings of the IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC)"",
  series =       ""COMPSAC'23"",
  editor =       """",
  volume =       """",
  year =         ""2023"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Torino, Italy"",
  pages =        ""1780--1785"",
  doi =          ""https://doi.org/10.1109/COMPSAC57700.2023.00275"",
  url =          ""10.1109/COMPSAC57700.2023.00275""
}";Evaluation;"This paper reports on a pilot study of using ChatGPT, a language model based on GPT-3.5 architecture, for
automatic generation of metamorphic relations (MRs), in the
context of testing of autonomous driving systems (ADSs). The
oracle problem is a major challenge in testing such systems,
where it is difficult to determine whether or not the output of
a system is correct. Metamorphic testing (MT) can alleviate this
problem by checking the consistency of the system’s outputs
under various transformations. However, manual generation
of MRs is often a time-consuming and error-prone process.
Automated MR generation can yield several benefits, including
enhanced efficiency, quality, coverage, scalability, and reusability
in software testing, thereby facilitating a more comprehensive
and effective testing process. In this paper, we investigate the
effectiveness of using ChatGPT for automatic generation of MRs
for ADSs. We provide a detailed methodology for generating
MRs using ChatGPT and evaluate the generated MRs using our
domain knowledge and existing MRs. The results of our study
indicate that our proposed approach is effective at generating
high-quality MRs, and can significantly reduce the manual
effort required for MR generation. Furthermore, we discuss the
practical implications and limitations of using ChatGPT for MR
generation and provide recommendations for future research.
Our study contributes to the advancement of automated testing
of ADSs, which is crucial for ensuring their safety and reliability
in real-world scenarios.";Oracle Generation;LLM-Pure-Prompting;;GPT-Family;;
P91;Towards Generating Executable Metamorphic Relations Using Large Language Models;2024;Seung2024;C: QUATIC;Conference;"@Inproceedings{Seung2024 ,
  author =       ""Shin, Seung Yeob and Pastore, Fabrizio and Bianculli, Domenico and Baicoianu, Alexandra"",
  title =        ""Towards Generating Executable Metamorphic Relations Using Large Language Models"",
  booktitle =    ""Quality of Information and Communications Technology"",
  series =       ""QUATIC'24"",
  editor =       ""Bertolino, Antonia and Pascoal Faria, Jo{\~a}o and Lago, Patricia and Semini, Laura"",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Springer Nature Switzerland"",
  address =      ""Pisa, Italy"",
  pages =        ""126--141"",
  doi =          ""https://doi.org/10.1007/978-3-031-70245-7_9"",
  url =          ""10.1007/978-3-031-70245-7_9""
}";Research Contribution;"Metamorphic testing (MT) has proven to be a successful solution to automating testing and addressing the oracle problem. However, it entails manually deriving metamorphic relations (MRs) and converting them into an executable form; these steps are time-consuming and may prevent the adoption of MT. In this paper, we propose an approach for automatically deriving executable MRs (EMRs) from requirements using large language models (LLMs). Instead of merely asking the LLM to produce EMRs, our approach relies on a few-shot prompting strategy to instruct the LLM to perform activities in the MT process, by providing requirements and API specifications, as one would do with software engineers. To assess the feasibility of our approach, we conducted a questionnaire-based survey in collaboration with Siemens Industry Software, a worldwide leader in providing industry software and services, focusing on four of their software applications. Additionally, we evaluated the accuracy of the generated EMRs for a Web application. The outcomes of our study are highly promising, as they demonstrate the capability of our approach to generate MRs and EMRs that are both comprehensible and pertinent for testing purposes.";Oracle Generation;LLM-Pure-Prompting;Other;GPT-Family;Other;
